frame.encap_type,frame.len,frame.protocols,ip.hdr_len,ip.len,ip.flags.rb,ip.flags.df,p.flags.mf,ip.frag_offset,ip.ttl,ip.proto,ip.src,ip.dst,tcp.srcport,tcp.dstport,tcp.len,tcp.ack,tcp.flags.res,tcp.flags.ns,tcp.flags.cwr,tcp.flags.ecn,tcp.flags.urg,tcp.flags.ack,tcp.flags.push,tcp.flags.reset,tcp.flags.syn,tcp.flags.fin,tcp.window_size,tcp.time_delta
1,74,eth:ethertype:ip:tcp,20,60,0,1,0,0,64,6,172.16.129.131,172.16.129.1,44826,53,0,0,0,0,0,0,0,0,0,0,1,0,64240,0.000000000
1,54,eth:ethertype:ip:tcp,20,40,0,1,0,0,64,6,172.16.129.1,172.16.129.131,53,44826,0,3592544269,0,0,0,0,0,1,0,1,0,0,0,0.000032000
1,74,eth:ethertype:ip:tcp,20,60,0,1,0,0,64,6,172.16.129.131,172.16.129.1,44828,53,0,0,0,0,0,0,0,0,0,0,1,0,64240,0.000000000
1,54,eth:ethertype:ip:tcp,20,40,0,1,0,0,64,6,172.16.129.1,172.16.129.131,53,44828,0,1355236442,0,0,0,0,0,1,0,1,0,0,0,0.000032000
1,74,eth:ethertype:ip:tcp,20,60,0,1,0,0,64,6,172.16.129.131,172.16.129.1,44830,53,0,0,0,0,0,0,0,0,0,0,1,0,64240,0.000000000
1,54,eth:ethertype:ip:tcp,20,40,0,1,0,0,64,6,172.16.129.1,172.16.129.131,53,44830,0,528087025,0,0,0,0,0,1,0,1,0,0,0,0.000033000
1,74,eth:ethertype:ip:tcp,20,60,0,1,0,0,64,6,172.16.129.131,172.16.129.1,44832,53,0,0,0,0,0,0,0,0,0,0,1,0,64240,0.000000000
1,54,eth:ethertype:ip:tcp,20,40,0,1,0,0,64,6,172.16.129.1,172.16.129.131,53,44832,0,2176324426,0,0,0,0,0,1,0,1,0,0,0,0.000032000
1,74,eth:ethertype:ip:tcp,20,60,0,1,0,0,64,6,172.16.129.131,172.16.129.1,44834,53,0,0,0,0,0,0,0,0,0,0,1,0,64240,0.000000000
1,54,eth:ethertype:ip:tcp,20,40,0,1,0,0,64,6,172.16.129.1,172.16.129.131,53,44834,0,520106107,0,0,0,0,0,1,0,1,0,0,0,0.000032000
1,74,eth:ethertype:ip:tcp,20,60,0,1,0,0,64,6,172.16.129.131,172.16.129.1,44836,53,0,0,0,0,0,0,0,0,0,0,1,0,64240,0.000000000
1,54,eth:ethertype:ip:tcp,20,40,0,1,0,0,64,6,172.16.129.1,172.16.129.131,53,44836,0,4183085434,0,0,0,0,0,1,0,1,0,0,0,0.000032000
1,74,eth:ethertype:ip:tcp,20,60,0,1,0,0,64,6,172.16.129.131,172.16.129.1,44838,53,0,0,0,0,0,0,0,0,0,0,1,0,64240,0.000000000
1,54,eth:ethertype:ip:tcp,20,40,0,1,0,0,64,6,172.16.129.1,172.16.129.131,53,44838,0,2802392528,0,0,0,0,0,1,0,1,0,0,0,0.000032000
1,74,eth:ethertype:ip:tcp,20,60,0,1,0,0,64,6,172.16.129.131,172.16.129.1,44840,53,0,0,0,0,0,0,0,0,0,0,1,0,64240,0.000000000
1,54,eth:ethertype:ip:tcp,20,40,0,1,0,0,64,6,172.16.129.1,172.16.129.131,53,44840,0,3470668141,0,0,0,0,0,1,0,1,0,0,0,0.000032000
1,74,eth:ethertype:ip:tcp,20,60,0,1,0,0,64,6,172.16.129.131,172.16.129.1,44842,53,0,0,0,0,0,0,0,0,0,0,1,0,64240,0.000000000
1,54,eth:ethertype:ip:tcp,20,40,0,1,0,0,64,6,172.16.129.1,172.16.129.131,53,44842,0,2803433355,0,0,0,0,0,1,0,1,0,0,0,0.000055000
1,74,eth:ethertype:ip:tcp,20,60,0,1,0,0,64,6,172.16.129.131,172.16.129.1,44844,53,0,0,0,0,0,0,0,0,0,0,1,0,64240,0.000000000
1,54,eth:ethertype:ip:tcp,20,40,0,1,0,0,64,6,172.16.129.1,172.16.129.131,53,44844,0,2161451166,0,0,0,0,0,1,0,1,0,0,0,0.000033000
1,74,eth:ethertype:ip:tcp,20,60,0,1,0,0,64,6,172.16.129.132,172.16.129.1,49258,53,0,0,0,0,0,0,0,0,0,0,1,0,64240,0.000000000
1,54,eth:ethertype:ip:tcp,20,40,0,1,0,0,64,6,172.16.129.1,172.16.129.132,53,49258,0,3970749234,0,0,0,0,0,1,0,1,0,0,0,0.000067000
1,74,eth:ethertype:ip:tcp,20,60,0,1,0,0,64,6,172.16.129.132,172.16.129.1,49260,53,0,0,0,0,0,0,0,0,0,0,1,0,64240,0.000000000
1,54,eth:ethertype:ip:tcp,20,40,0,1,0,0,64,6,172.16.129.1,172.16.129.132,53,49260,0,350622066,0,0,0,0,0,1,0,1,0,0,0,0.000037000
1,74,eth:ethertype:ip:tcp,20,60,0,1,0,0,64,6,172.16.129.132,172.16.129.1,49262,53,0,0,0,0,0,0,0,0,0,0,1,0,64240,0.000000000
1,54,eth:ethertype:ip:tcp,20,40,0,1,0,0,64,6,172.16.129.1,172.16.129.132,53,49262,0,1567644516,0,0,0,0,0,1,0,1,0,0,0,0.000036000
1,74,eth:ethertype:ip:tcp,20,60,0,1,0,0,64,6,172.16.129.132,172.16.129.1,49264,53,0,0,0,0,0,0,0,0,0,0,1,0,64240,0.000000000
1,54,eth:ethertype:ip:tcp,20,40,0,1,0,0,64,6,172.16.129.1,172.16.129.132,53,49264,0,1525908853,0,0,0,0,0,1,0,1,0,0,0,0.000034000
1,74,eth:ethertype:ip:tcp,20,60,0,1,0,0,64,6,172.16.129.132,172.16.129.1,49266,53,0,0,0,0,0,0,0,0,0,0,1,0,64240,0.000000000
