frame.encap_type,frame.len,frame.protocols,ip.hdr_len,ip.len,ip.flags.rb,ip.flags.df,p.flags.mf,ip.frag_offset,ip.ttl,ip.proto,ip.src,ip.dst,tcp.srcport,tcp.dstport,tcp.len,tcp.ack,tcp.flags.res,tcp.flags.ns,tcp.flags.cwr,tcp.flags.ecn,tcp.flags.urg,tcp.flags.ack,tcp.flags.push,tcp.flags.reset,tcp.flags.syn,tcp.flags.fin,tcp.window_size,tcp.time_delta
1,66,eth:ethertype:ip:tcp,20,52,0,1,0,0,64,6,172.16.129.130,172.16.129.131,80,46042,0,449326772,0,0,0,0,0,1,0,0,0,1,65024,0.000250000
1,66,eth:ethertype:ip:tcp,20,52,0,1,0,0,64,6,172.16.129.131,172.16.129.130,46042,80,0,2514248299,0,0,0,0,0,1,0,0,0,0,64128,0.000200000
1,548,eth:ethertype:ip:tcp:http:data-text-lines,20,534,0,1,0,0,64,6,172.16.129.130,172.16.129.131,80,46040,482,1676496145,0,0,0,0,0,1,1,0,0,0,65024,11.744532000
1,66,eth:ethertype:ip:tcp,20,52,0,1,0,0,64,6,172.16.129.130,172.16.129.131,80,46040,0,1676496145,0,0,0,0,0,1,0,0,0,1,65024,0.000216000
1,66,eth:ethertype:ip:tcp,20,52,0,1,0,0,64,6,172.16.129.131,172.16.129.130,46040,80,0,1084826488,0,0,0,0,0,1,0,0,0,0,64128,0.000283000
1,548,eth:ethertype:ip:tcp:http:data-text-lines,20,534,0,1,0,0,64,6,172.16.129.130,172.16.129.131,80,46044,482,4242988632,0,0,0,0,0,1,1,0,0,0,65024,11.745265000
1,66,eth:ethertype:ip:tcp,20,52,0,1,0,0,64,6,172.16.129.130,172.16.129.131,80,46044,0,4242988632,0,0,0,0,0,1,0,0,0,1,65024,0.000262000
1,66,eth:ethertype:ip:tcp,20,52,0,1,0,0,64,6,172.16.129.131,172.16.129.130,46044,80,0,2381417156,0,0,0,0,0,1,0,0,0,0,64128,0.000157000
1,548,eth:ethertype:ip:tcp:http:data-text-lines,20,534,0,1,0,0,64,6,172.16.129.130,172.16.129.131,80,46046,482,3277223168,0,0,0,0,0,1,1,0,0,0,65024,11.746429000
1,66,eth:ethertype:ip:tcp,20,52,0,1,0,0,64,6,172.16.129.130,172.16.129.131,80,46046,0,3277223168,0,0,0,0,0,1,0,0,0,1,65024,0.000221000
1,66,eth:ethertype:ip:tcp,20,52,0,1,0,0,64,6,172.16.129.131,172.16.129.130,46046,80,0,359493571,0,0,0,0,0,1,0,0,0,0,64128,0.000231000
1,548,eth:ethertype:ip:tcp:http:data-text-lines,20,534,0,1,0,0,64,6,172.16.129.130,172.16.129.131,80,46050,482,895810805,0,0,0,0,0,1,1,0,0,0,65024,11.747172000
1,66,eth:ethertype:ip:tcp,20,52,0,1,0,0,64,6,172.16.129.130,172.16.129.131,80,46050,0,895810805,0,0,0,0,0,1,0,0,0,1,65024,0.000207000
1,66,eth:ethertype:ip:tcp,20,52,0,1,0,0,64,6,172.16.129.131,172.16.129.130,46050,80,0,3908179757,0,0,0,0,0,1,0,0,0,0,64128,0.000111000
1,548,eth:ethertype:ip:tcp:http:data-text-lines,20,534,0,1,0,0,64,6,172.16.129.130,172.16.129.131,80,46048,482,3351996646,0,0,0,0,0,1,1,0,0,0,65024,11.748136000
1,66,eth:ethertype:ip:tcp,20,52,0,1,0,0,64,6,172.16.129.130,172.16.129.131,80,46048,0,3351996646,0,0,0,0,0,1,0,0,0,1,65024,0.000198000
1,66,eth:ethertype:ip:tcp,20,52,0,1,0,0,64,6,172.16.129.131,172.16.129.130,46048,80,0,4083020441,0,0,0,0,0,1,0,0,0,0,64128,0.000059000
1,66,eth:ethertype:ip:tcp,20,52,0,1,0,0,64,6,172.16.129.131,172.16.129.130,46030,80,0,1671837616,0,0,0,0,0,1,0,0,0,0,64128,0.043409000
1,548,eth:ethertype:ip:tcp:http:data-text-lines,20,534,0,1,0,0,64,6,172.16.129.130,172.16.129.131,80,46052,482,3717414581,0,0,0,0,0,1,1,0,0,0,65024,11.758982000
1,66,eth:ethertype:ip:tcp,20,52,0,1,0,0,64,6,172.16.129.130,172.16.129.131,80,46052,0,3717414581,0,0,0,0,0,1,0,0,0,1,65024,0.000320000
1,66,eth:ethertype:ip:tcp,20,52,0,1,0,0,64,6,172.16.129.131,172.16.129.130,46052,80,0,1359094952,0,0,0,0,0,1,0,0,0,0,64128,0.000274000
1,548,eth:ethertype:ip:tcp:http:data-text-lines,20,534,0,1,0,0,64,6,172.16.129.130,172.16.129.131,80,46054,482,131286161,0,0,0,0,0,1,1,0,0,0,65024,11.759513000
1,66,eth:ethertype:ip:tcp,20,52,0,1,0,0,64,6,172.16.129.130,172.16.129.131,80,46054,0,131286161,0,0,0,0,0,1,0,0,0,1,65024,0.000263000
1,66,eth:ethertype:ip:tcp,20,52,0,1,0,0,64,6,172.16.129.131,172.16.129.130,46054,80,0,3624614026,0,0,0,0,0,1,0,0,0,0,64128,0.000128000
1,548,eth:ethertype:ip:tcp:http:data-text-lines,20,534,0,1,0,0,64,6,172.16.129.130,172.16.129.131,80,46056,482,2214409595,0,0,0,0,0,1,1,0,0,0,65024,11.760487000
1,66,eth:ethertype:ip:tcp,20,52,0,1,0,0,64,6,172.16.129.130,172.16.129.131,80,46056,0,2214409595,0,0,0,0,0,1,0,0,0,1,65024,0.000261000
1,66,eth:ethertype:ip:tcp,20,52,0,1,0,0,64,6,172.16.129.131,172.16.129.130,46038,80,0,2265700640,0,0,0,0,0,1,0,0,0,0,64128,0.040957000
1,66,eth:ethertype:ip:tcp,20,52,0,1,0,0,64,6,172.16.129.131,172.16.129.130,46036,80,0,2898490280,0,0,0,0,0,1,0,0,0,0,64128,0.042423000
1,66,eth:ethertype:ip:tcp,20,52,0,1,0,0,64,6,172.16.129.131,172.16.129.130,46056,80,0,1989465281,0,0,0,0,0,1,0,0,0,0,64128,0.008631000
1,548,eth:ethertype:ip:tcp:http:data-text-lines,20,534,0,1,0,0,64,6,172.16.129.130,172.16.129.131,80,46058,482,963259743,0,0,0,0,0,1,1,0,0,0,65024,11.770552000
1,66,eth:ethertype:ip:tcp,20,52,0,1,0,0,64,6,172.16.129.130,172.16.129.131,80,46058,0,963259743,0,0,0,0,0,1,0,0,0,1,65024,0.000345000
1,66,eth:ethertype:ip:tcp,20,52,0,1,0,0,64,6,172.16.129.131,172.16.129.130,46058,80,0,945465942,0,0,0,0,0,1,0,0,0,0,64128,0.000484000
1,548,eth:ethertype:ip:tcp:http:data-text-lines,20,534,0,1,0,0,64,6,172.16.129.130,172.16.129.131,80,46060,482,3552565468,0,0,0,0,0,1,1,0,0,0,65024,11.772114000
